CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Rating,Year,Contract_Type
H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",3,2013,MA PD
H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,2013,MA PD
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3.5,2013,MA PD
H1013,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Plan of Florida,Coventry Health Care Inc.,3,2013,MA PD
H1016,Local CCP,"AVMED, INC",AvMed Medicare,"AvMed, Inc.",3.5,2013,MA PD
H1019,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,3.5,2013,MA PD
H1026,Local CCP,"HEALTH OPTIONS, INC",Florida Blue HMO,Blue Cross and Blue Shield of Florida,3,2013,MA PD
H1032,Local CCP,"WELL CARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",3,2013,MA PD
H1035,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,4.5,2013,MA PD
H1036,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,4.5,2013,MA PD
H1045,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",4,2013,MA PD
H1076,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care of Florida,Coventry Health Care Inc.,3,2013,MA PD
H1080,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H1099,Local CCP,"HEALTH FIRST HEALTH PLANS, INC.",Health First Health Plans,Health First,4.5,2013,MA PD
H1108,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,2013,MA PD
H1109,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,3,2013,MA PD
H1110,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,3.5,2013,MA PD
H1111,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,2013,MA PD
H1112,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,2013,MA PD
H1170,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4.5,2013,MA PD
H1216,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,2013,MA PD
H1230,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,2013,MA PD
H1251,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,Hawaii Medical Service Association,3.5,2013,MA PD
H1264,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,2013,MA PD
H1286,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H1302,Local CCP,BLUE CROSS OF IDAHO HLTH SERVICES INC,Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",3,2013,MA PD
H1303,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H1304,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",3.5,2013,MA PD
H1350,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",4.5,2013,MA PD
H1365,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",3.5,2013,MA PD
H1406,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,2013,MA PD
H1415,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.",CIGNA,3.5,2013,MA PD
H1416,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",3,2013,MA PD
H1417,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4.5,2013,MA PD
H1418,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,MA PD
H1463,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4.5,2013,MA PD
H1468,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,4.5,2013,MA PD
H1509,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H1510,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,2013,MA PD
H1517,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3.5,2013,MA PD
H1607,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,2013,MA PD
H1608,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,4,2013,MA PD
H1609,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Coventry Health Care Inc.,4,2013,MA PD
H1681,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,2013,MA PD
H1716,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,MA PD
H1717,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H1806,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,MA PD
H1849,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,2013,MA PD
H1903,Local CCP,"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,2013,MA PD
H1906,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of LA, Inc.",Humana Inc.,3,2013,MA PD
H1944,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H1951,Local CCP,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,3.5,2013,MA PD
H1961,Local CCP,"PEOPLES HEALTH, INC.",Peoples Health,"PH Holdings, LLC",3.5,2013,MA PD
H2001,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2013,MA PD
H2012,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3.5,2013,MA PD
H2029,Local CCP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,2.5,2013,MA PD
H2108,Local CCP,BRAVO HEALTH MID- ATLANTIC INC.,Bravo Health,CIGNA,2.5,2013,MA PD
H2111,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H2112,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3.5,2013,MA PD
H2150,1876 Cost,KAISER FNDN HP OF THE MID-ATLANTIC STS,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,2013,MA PD
H2165,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Life & Health,CIGNA,2.5,2013,MA PD
H2174,Local CCP,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,"Agate Resources,  Inc.",3.5,2013,MA PD
H2182,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H2224,Local CCP,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,"SWH Holdings, Inc.",3.5,2013,MA PD
H2225,Local CCP,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",4.5,2013,MA PD
H2226,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",4,2013,MA PD
H2228,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H2230,Local CCP,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",4.5,2013,MA PD
H2237,Local CCP,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Independent Care Health Plan Inc.,2.5,2013,MA PD
H2256,Local CCP,"TUFTS ASSOCIATED HMO, INC.",Tufts Health Plan Medicare Preferred,"TAHMO, Inc.",4.5,2013,MA PD
H2261,Local CCP,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",4.5,2013,MA PD
H2312,Local CCP,HEALTH ALLIANCE PLAN OF MICHIGAN,HAP Senior Plus,Health Alliance Plan (HAP),4,2013,MA PD
H2320,Local CCP,PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,4.5,2013,MA PD
H2322,Local CCP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare PPO,Health Alliance Plan (HAP),4,2013,MA PD
H2354,Local CCP,HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,HealthPlus of Michigan,4.5,2013,MA PD
H2406,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,2013,MA PD
H2416,Local CCP,PRIMEWEST HEALTH SYSTEM,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,4,2013,MA PD
H2419,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,4,2013,MA PD
H2422,Local CCP,"HEALTHPARTNERS, INC.",HealthPartners,"HealthPartners, Inc.",4.5,2013,MA PD
H2425,Local CCP,BLUE PLUS,Blue Plus,Blue Cross and Blue Shield of Minnesota,3.5,2013,MA PD
H2450,1876 Cost,MEDICA INSURANCE COMPANY,Medica Insurance Company,Medica Holding Company,4.5,2013,MA PD
H2456,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,3.5,2013,MA PD
H2458,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,4,2013,MA PD
H2459,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,4.5,2013,MA PD
H2462,1876 Cost,"GROUP HEALTH PLAN, INC.",HealthPartners,"HealthPartners, Inc.",5,2013,MA PD
H2486,Local CCP,"HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.",Humana Inc.,4,2013,MA PD
H2491,Local CCP,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",'Ohana Health Plan,"WellCare Health Plans, Inc.",3,2013,MA PD
H2542,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,2013,MA PD
H2593,Local CCP,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","WellPoint, Inc.",3.5,2013,MA PD
H2610,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,4.5,2013,MA PD
H2611,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,3,2013,MA PD
H2643,Local CCP,L. A. CARE HEALTH PLAN,L.A. Care Health Plan Medicare Advantage,Local Initiative Health Authority for LA County,2.5,2013,MA PD
H2649,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,2013,MA PD
H2654,Local CCP,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H2663,Local CCP,"COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.",Coventry Health Care Inc.,4,2013,MA PD
H2667,Local CCP,"COVENTRY HEALTH CARE OF MISSOURI, INC",Coventry Health Care,Coventry Health Care Inc.,3.5,2013,MA PD
H2672,Local CCP,"COVENTRY HEALTH CARE OF KANSAS, INC.",COVENTRY HEALTH CARE,Coventry Health Care Inc.,4,2013,MA PD
H2701,Local CCP,NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,3.5,2013,MA PD
H2775,Local CCP,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,3,2013,MA PD
H2802,Local CCP,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H2803,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H2810,Local CCP,GROUP HEALTH OPTIONS,"Group Health Options, Inc.",Group Health Cooperative,3.5,2013,MA PD
H2816,PFFS,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,3,2013,MA PD
H2905,Local CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",3,2013,MA PD
H2931,Local CCP,"HEALTH PLAN OF NEVADA, INC.","Health Plan of Nevada, Inc.","UnitedHealth Group, Inc.",3.5,2013,MA PD
H2944,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,MA PD
H2949,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,2013,MA PD
H2960,Local CCP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,4,2013,MA PD
H2997,Local CCP,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3.5,2013,MA PD
H3028,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3.5,2013,MA PD
H3107,Local CCP,"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3152,Local CCP,"AETNA HEALTH, INC. (NJ)",Aetna Medicare,Aetna Inc.,3.5,2013,MA PD
H3154,Local CCP,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Healthcare Services, Inc.",3.5,2013,MA PD
H3156,Local CCP,"AMERIHEALTH HMO, INC",AmeriHealth 65,Independence Blue Cross,4,2013,MA PD
H3164,Local CCP,"AMERICHOICE OF NEW JERSEY, INC",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.5,2013,MA PD
H3204,Local CCP,PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,3.5,2013,MA PD
H3206,Local CCP,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,4,2013,MA PD
H3209,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3240,Local CCP,"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,2.5,2013,MA PD
H3251,Local CCP,"LOVELACE HEALTH SYSTEM, INC.",Lovelace Medicare Plan,Ardent Health Services.,3.5,2013,MA PD
H3305,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4.5,2013,MA PD
H3307,Local CCP,"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3312,Local CCP,"AETNA HEALTH, INC. (NY)",Aetna Medicare,Aetna Inc.,4,2013,MA PD
H3327,Local CCP,"TOUCHSTONE HEALTH HMO, INC.",Touchstone Health,"Touchstone Health Partnership, Inc",2.5,2013,MA PD
H3328,Local CCP,NEW YORK STATE CATHOLIC HLTH PLAN INC,Fidelis Care,"The New York State Catholic Health Plan, Inc.",3,2013,MA PD
H3330,Local CCP,HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",3.5,2013,MA PD
H3333,PFFS,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,3.5,2013,MA PD
H3335,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4.5,2013,MA PD
H3337,Local CCP,"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",2.5,2013,MA PD
H3342,Local CCP,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",3.5,2013,MA PD
H3344,Local CCP,INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",4.5,2013,MA PD
H3347,Local CCP,"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",3,2013,MA PD
H3351,Local CCP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",4.5,2013,MA PD
H3359,Local CCP,"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",3,2013,MA PD
H3361,Local CCP,"WELLCARE_OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,2013,MA PD
H3362,Local CCP,"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",4.5,2013,MA PD
H3370,Local CCP,"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,"WellPoint, Inc.",3.5,2013,MA PD
H3379,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3384,Local CCP,HEALTHNOW NEW YORK INC,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HealthNow New York Inc.,4.5,2013,MA PD
H3387,Local CCP,"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.5,2013,MA PD
H3388,Local CCP,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",4.5,2013,MA PD
H3404,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,2013,MA PD
H3405,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,MA PD
H3421,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",America's 1st Choice Health Plans,"America's 1st Choice Holdings of S.C., LLC",3,2013,MA PD
H3449,Local CCP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,2013,MA PD
H3456,Local CCP,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3528,Local CCP,"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",4.5,2013,MA PD
H3533,Local CCP,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.","Arcadian Health Plan of New York, Inc.",Humana Inc.,3,2013,MA PD
H3597,Local CCP,"AETNA HEALTH, INC. (ME)",Aetna Medicare,Aetna Inc.,4.5,2013,MA PD
H3619,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,2013,MA PD
H3620,Local CCP,AULTCARE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,4,2013,MA PD
H3623,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,3.5,2013,MA PD
H3653,Local CCP,"PARAMOUNT CARE, INC",Paramount Elite,Promedica Health System,3.5,2013,MA PD
H3655,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3.5,2013,MA PD
H3659,Local CCP,"UNITEDHEALTHCARE OF OHIO, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3660,Local CCP,SUMMACARE INC.,SummaCare Secure,Summa Health System,4,2013,MA PD
H3664,Local CCP,AULTCARE INSURANCE COMPANY,PrimeTime Health Plan,Aultman Health Foundation,3.5,2013,MA PD
H3668,Local CCP,"MT. CARMEL HEALTH PLAN, INC.",MediGold,Trinity Health,3.5,2013,MA PD
H3672,Local CCP,HOMETOWN HEALTH PLAN,The Health Plan,Health Plan of the Upper Ohio Valley,4,2013,MA PD
H3706,Local CCP,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,Universal American Corp.,3,2013,MA PD
H3749,Local CCP,"UNITEDHEALTHCARE OF OKLAHOMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3755,Local CCP,"COMMUNITY CARE HMO, INC",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",3.5,2013,MA PD
H3805,Local CCP,"UNITEDHEALTHCARE OF OREGON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,2013,MA PD
H3810,Local CCP,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,CareSource,Mid Rogue Community Health Plan,3.5,2013,MA PD
H3811,Local CCP,"SAMARITAN HEALTH PLANS, INC.",Samaritan Advantage Health Plan,Samaritan Health Services,4,2013,MA PD
H3812,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H3813,Local CCP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",4.5,2013,MA PD
H3814,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,3,2013,MA PD
H3815,Local CCP,CITIZENS CHOICE HEALTHPLAN,Citizens Choice Healthplan,Honored Citizens Choice Health Plan,3,2013,MA PD
H3817,Local CCP,REGENCE BLUECROSS BLUESHIELD OF OR,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",3.5,2013,MA PD
H3818,Local CCP,"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,3,2013,MA PD
H3832,Local CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,4.5,2013,MA PD
H3864,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,4,2013,MA PD
H3887,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3907,Local CCP,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,UPMC Health Plan,University of Pittsburgh Medical Center,4,2013,MA PD
H3909,Local CCP,QCC INSURANCE COMPANY,Personal Choice 65,Independence Blue Cross,4.5,2013,MA PD
H3912,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
H3916,Local CCP,"HIGHMARK, INC.","Highmark, Inc.",Highmark Inc.,4,2013,MA PD
H3920,Local CCP,"UNITEDHEALTHCARE OF PENNSYLVANIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,2013,MA PD
H3921,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2013,MA PD
H3923,Local CCP,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital Advantage Insurance Company,Capital BlueCross,4.5,2013,MA PD
H3924,Local CCP,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,4.5,2013,MA PD
H3931,Local CCP,"AETNA HEALTH, INC, (PA)",Aetna Medicare,Aetna Inc.,3.5,2013,MA PD
H3949,Local CCP,BRAVO HEALTH PENNSYLVANIA INC.,Bravo Health,CIGNA,3,2013,MA PD
H3952,Local CCP,"KEYSTONE HEALTH PLAN EAST, INC.",Keystone 65,Independence Blue Cross,4,2013,MA PD
H3954,Local CCP,GEISINGER HEALTH PLAN,Geisinger Gold,Geisinger Health System,4.5,2013,MA PD
H3957,Local CCP,"KEYSTONE HEALTH PLAN WEST, INC.","Keystone Health Plan West, Inc.",Highmark Inc.,4,2013,MA PD
H3959,Local CCP,"HEALTHAMERICA PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,4,2013,MA PD
H3962,Local CCP,"KEYSTONE HEALTH PLAN CENTRAL,INC.","Keystone Health Plan Central, Inc.",Capital BlueCross,4,2013,MA PD
H3964,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Bravo Health,CIGNA,3,2013,MA PD
H4003,Local CCP,"MMM HEALTHCARE, INC.",Medicare y Mucho Mßs,Aveta Inc.,3,2013,MA PD
H4004,Local CCP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.",Aveta Inc.,3,2013,MA PD
H4005,Local CCP,"TRIPLE-S SALUD,  INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,2.5,2013,MA PD
H4006,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",3,2013,MA PD
H4007,Local CCP,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,2.5,2013,MA PD
H4011,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",2.5,2013,MA PD
H4012,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,2.5,2013,MA PD
H4036,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",4,2013,MA PD
H4102,Local CCP,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,2013,MA PD
